Ticker,Current Stage,Stage Start Date,Score,Judgment,Action
EGAN,ステージ2,2025-10-03,40,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
FCEL,ステージ2,2025-10-03,40,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
PLUG,ステージ2,2025-10-02,40,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
RR,ステージ2,2025-10-03,40,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
TARA,ステージ2,2025-10-03,40,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
AREC,ステージ2,2025-10-03,35,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
AVTX,ステージ2,2025-10-03,30,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
BTU,ステージ2,2025-10-03,30,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
GMAB,ステージ2,2025-10-01,30,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
MRAM,ステージ2,2025-10-01,30,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
ALEC,ステージ2,2025-10-03,25,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
ARCT,ステージ2,2025-10-03,25,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
BLDP,ステージ2,2025-10-03,25,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
BLNK,ステージ2,2025-10-03,25,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
ESPR,ステージ2,2025-10-03,25,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
GDEV,ステージ2,2025-10-03,25,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
LITP,ステージ2,2025-10-03,25,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
LU,ステージ2,2025-10-02,25,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
OVID,ステージ2,2025-10-03,25,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
PC,ステージ2,2025-07-15,25,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
PHAR,ステージ2,2025-10-02,25,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
SES,ステージ2,2025-10-03,25,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
DPRO,ステージ2,2025-09-30,20,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
STEM,ステージ2,2025-10-03,20,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
TLN,ステージ2,2025-10-03,20,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
ACIU,ステージ2,2025-10-03,15,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
XOMA,ステージ2,2025-10-01,10,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
SUPX,ステージ2,2025-02-03,0,安全 (ステージ2継続),ポジションを維持し、トレンドの継続を期待する。
LAES,ステージ1,2025-09-22,90,A判定 (強力な移行シグナル),自信を持ってエントリーを検討するべき理想的なブレイクアウト。
ARBE,ステージ1,2025-09-22,85,A判定 (強力な移行シグナル),自信を持ってエントリーを検討するべき理想的なブレイクアウト。
APLM,ステージ1,2024-07-22,75,B判定 (移行シグナル),エントリーを検討。リスク管理のためポジションサイズ調整も考慮。
CNTX,ステージ1,2025-09-22,75,B判定 (移行シグナル),エントリーを検討。リスク管理のためポジションサイズ調整も考慮。
NVX,ステージ1,2024-07-22,75,B-判定 (有望だが確認待ち),高スコア(75点)だが未確認 (ブレイクアウト後0日)。慎重にエントリー検討。
TDOC,ステージ1,2024-07-22,75,B-判定 (有望だが確認待ち),高スコア(75点)だが未確認 (ブレイクアウト後0日)。慎重にエントリー検討。
ADUR,ステージ1,2025-06-03,70,B判定 (移行シグナル),エントリーを検討。リスク管理のためポジションサイズ調整も考慮。
CENN,ステージ1,2025-09-23,70,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 70)。
DAWN,ステージ1,2024-07-22,70,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 70)。
EMEQ,ステージ1,2025-06-24,70,B判定 (移行シグナル),エントリーを検討。リスク管理のためポジションサイズ調整も考慮。
GETY,ステージ1,2024-07-22,70,B判定 (移行シグナル),エントリーを検討。リスク管理のためポジションサイズ調整も考慮。
NNDM,ステージ1,2024-07-22,70,B判定 (移行シグナル),エントリーを検討。リスク管理のためポジションサイズ調整も考慮。
RGC,ステージ1,2025-09-19,70,B判定 (移行シグナル),エントリーを検討。リスク管理のためポジションサイズ調整も考慮。
RVPH,ステージ1,2025-09-15,70,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 70)。
BEAT,ステージ1,2025-09-05,65,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 65)。
DECO,ステージ1,2025-06-27,65,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 65)。
DOMH,ステージ1,2025-09-25,65,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 65)。
HAFN,ステージ1,2025-01-27,65,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 65)。
HOWL,ステージ1,2025-10-02,65,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 65)。
MGX,ステージ1,2024-11-22,65,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 65)。
PWM,ステージ1,2024-07-22,65,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 65)。
PYXS,ステージ1,2025-09-19,65,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 65)。
SMTK,ステージ1,2025-03-19,65,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 65)。
TEM,ステージ1,2025-04-02,65,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 65)。
WAFU,ステージ1,2024-07-22,65,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 65)。
BETR,ステージ1,2025-10-02,60,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 60)。
BFLY,ステージ1,2025-09-18,60,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 60)。
BNAI,ステージ1,2025-09-24,60,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 60)。
CLIR,ステージ1,2024-07-22,60,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 60)。
EVAX,ステージ1,2024-07-22,60,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 60)。
INBX,ステージ1,2025-03-17,60,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 60)。
IONR,ステージ1,2025-09-30,60,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 60)。
KURA,ステージ1,2024-07-22,60,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 60)。
LIF,ステージ1,2025-03-25,60,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 60)。
LYEL,ステージ1,2024-07-22,60,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 60)。
NVA,ステージ1,2025-05-09,60,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 60)。
SAVA,ステージ1,2024-07-22,60,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 60)。
TBN,ステージ1,2025-04-14,60,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 60)。
TRAW,ステージ1,2025-09-17,60,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 60)。
TROO,ステージ1,2024-07-22,60,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 60)。
VYGR,ステージ1,2024-07-22,60,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 60)。
WCT,ステージ1,2025-07-22,60,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 60)。
WKEY,ステージ1,2025-09-03,60,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 60)。
XELB,ステージ1,2025-09-17,60,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 60)。
AIIO,ステージ1,2025-10-03,55,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 55)。
ARDT,ステージ1,2025-05-05,55,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 55)。
ATXG,ステージ1,2025-09-04,55,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 55)。
BREA,ステージ1,2025-10-01,55,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 55)。
CVRX,ステージ1,2024-07-22,55,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 55)。
ENSC,ステージ1,2024-07-22,55,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 55)。
GLOW,ステージ1,2025-04-25,55,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 55)。
NEOG,ステージ1,2025-08-14,55,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 55)。
NPCE,ステージ1,2025-09-04,55,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 55)。
NPWR,ステージ1,2025-09-29,55,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 55)。
QMMM,ステージ1,2025-05-06,55,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 55)。
RAPP,ステージ1,2025-03-26,55,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 55)。
RYM,ステージ1,2025-09-05,55,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 55)。
SGML,ステージ1,2024-07-22,55,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 55)。
SOGP,ステージ1,2025-09-11,55,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 55)。
SOPA,ステージ1,2024-07-22,55,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 55)。
SPAI,ステージ1,2025-06-16,55,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 55)。
TKNO,ステージ1,2025-10-03,55,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 55)。
VRAR,ステージ1,2024-07-22,55,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 55)。
WBTN,ステージ1,2025-04-14,55,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 55)。
ZBIO,ステージ1,2025-07-02,55,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 55)。
ZCMD,ステージ1,2025-09-11,55,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 55)。
AAM,ステージ1,2025-07-03,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
AAUC,ステージ1,2025-06-03,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
ACRV,ステージ1,2024-07-22,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
AEI,ステージ1,2025-09-24,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
APLT,ステージ1,2024-07-22,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
AUNA,ステージ1,2025-01-07,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
AVTR,ステージ1,2024-07-22,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
BCAB,ステージ1,2025-09-15,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
BENF,ステージ1,2024-07-22,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
BKV,ステージ1,2025-07-16,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
BMEA,ステージ1,2025-09-05,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
BOTT,ステージ1,2025-02-06,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
CABO,ステージ1,2025-07-29,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
CCNR,ステージ1,2025-04-28,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
COPP,ステージ1,2024-12-18,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
CURB,ステージ1,2025-07-16,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
DTSQ,ステージ1,2025-07-03,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
FBRX,ステージ1,2024-07-22,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
FGBI,ステージ1,2024-07-22,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
FGEN,ステージ1,2025-09-04,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
FGI,ステージ1,2025-09-18,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
FKWL,ステージ1,2024-07-22,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
FORL,ステージ1,2024-07-22,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
FVR,ステージ1,2025-07-22,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
GDC,ステージ1,2025-09-23,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
GJT,ステージ1,2024-07-25,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
GPAT,ステージ1,2025-04-21,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
GPT,ステージ1,2025-07-08,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
GREE,ステージ1,2024-07-22,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
HECO,ステージ1,2025-06-27,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
HELE,ステージ1,2025-09-25,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
HOUR,ステージ1,2025-09-10,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
HWAY,ステージ1,2025-07-01,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
IBAT,ステージ1,2025-01-06,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
JBDI,ステージ1,2025-06-13,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
KRKR,ステージ1,2025-09-10,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
LDI,ステージ1,2025-09-23,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
LITM,ステージ1,2024-07-22,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
LPCN,ステージ1,2024-07-22,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
LPTX,ステージ1,2025-09-08,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
LRMR,ステージ1,2025-09-26,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
MBBC,ステージ1,2024-07-23,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
MGIH,ステージ1,2025-09-23,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
MNTK,ステージ1,2024-07-22,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
MOGU,ステージ1,2025-09-15,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
MRSN,ステージ1,2025-08-29,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
NAUT,ステージ1,2024-07-22,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
NBR,ステージ1,2024-07-22,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
NIXT,ステージ1,2025-06-27,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
NPFI,ステージ1,2024-12-19,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
OGN,ステージ1,2024-07-22,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
OPTZ,ステージ1,2025-02-07,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
PATN,ステージ1,2025-07-07,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
PRPH,ステージ1,2024-07-22,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
PSTR,ステージ1,2025-02-14,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
PTIR,ステージ1,2025-06-23,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
PYT,ステージ1,2024-07-22,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
QLGN,ステージ1,2025-10-02,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
QMCO,ステージ1,2025-09-08,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
QSIX,ステージ1,2025-07-14,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
SHPH,ステージ1,2025-09-02,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
SIMA,ステージ1,2025-06-18,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
SLP,ステージ1,2025-09-09,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
SNTG,ステージ1,2025-09-10,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
SRPT,ステージ1,2025-09-09,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
STXI,ステージ1,2025-04-14,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
SVCO,ステージ1,2025-02-26,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
TEKX,ステージ1,2025-06-27,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
TOUR,ステージ1,2024-07-22,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
UPC,ステージ1,2025-08-21,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
VNCE,ステージ1,2025-07-25,50,C判定 (準備段階),エントリーは見送り、全ての条件が揃うのを待つ (スコア: 50)。
